sourceId,sku,name,qtyBox,qtyPcs,srcLoc,trip,expDate,ean
LOTTE-20260622-Air_con622_1-001,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,C05A0194-0,Air-con6/22-1,2027/03/20,28801062478907
LOTTE-20260622-Air_con622_1-002,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,C05A0214-0,Air-con6/22-1,2027/03/20,28801062478907
LOTTE-20260622-Air_con622_1-003,BK9275,LOTTE Pepero 杏仁巧克力口味餅乾棒32g,80,3200,C05A0234-0,Air-con6/22-1,46466,28801062478907
