sourceId,sku,name,qtyBox,qtyPcs,srcLoc,destLoc,trip,expDate,ean
,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/11/25,48801062267796
,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/11/25,48801062267796
,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/11/25,48801062267796
,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/11/25,48801062267796
,BK9283,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/11/25,48801062267796
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,1,9,,,6/25空調-1,2026/12/09,48801062641237
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,22,198,,,6/25空調-1,2026/12/09,48801062641237
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,34,307,,,6/25空調-1,2026/12/08,48801062641237
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,43,392,,,6/25空調-1,2026/12/09,48801062641237
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,52,468,,,6/25空調-1,2026/12/09,48801062641237
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,71,639,,,6/25空調-1,2026/12/08,48801062641237
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/12/09,48801062641237
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/12/09,48801062641237
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/12/09,48801062641237
,BK9284,LOTTE Pepero 白巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/12/09,48801062641237
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,0,4,,,6/25空調-1,2026/09/04,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,19,176,,,6/25空調-1,2026/09/04,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,32,288,,,6/25空調-1,2026/09/04,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,72,648,,,6/25空調-1,2026/09/04,18801062880888
,BK9305,LOTTE Pepero 草莓脆粒餅乾棒32g,80,3200,,,6/25空調-1,2027/02/08,18801062862532
,BK9305,LOTTE Pepero 草莓脆粒餅乾棒32g,80,3200,,,6/25空調-1,2027/02/08,18801062862532
,BK9305,LOTTE Pepero 草莓脆粒餅乾棒32g,80,3200,,,6/25空調-1,2027/02/08,18801062862532
,BK9305,LOTTE Pepero 草莓脆粒餅乾棒32g,80,3200,,,6/25空調-1,2027/02/09,18801062862532
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,43,395,,,6/25空調-2,2026/09/15,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,59,536,,,6/25空調-2,2026/09/15,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,72,648,,,6/25空調-2,2026/09/15,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,72,648,,,6/25空調-2,2026/09/15,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,72,648,,,6/25空調-2,2026/09/15,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,72,648,,,6/25空調-2,2026/09/15,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,72,648,,,6/25空調-2,2026/09/15,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,72,648,,,6/25空調-2,2026/09/15,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,72,648,,,6/25空調-2,2026/09/15,18801062880888
,BK9285,LOTTE Pepero 脆心巧克力口味餅乾棒分享盒,72,648,,,6/25空調-2,2026/09/15,18801062880888
,BK9305,LOTTE Pepero 草莓脆粒餅乾棒32g,80,3200,,,6/25空調-2,2027/02/09,18801062862532
,BK9318,LOTTE Pepero巧克力夾心口味餅乾棒45g,0,16,,,6/25空調-2,2026/09/15,18801062860521
,BK9318,LOTTE Pepero巧克力夾心口味餅乾棒45g,65,2636,,,6/25空調-2,2026/10/26,18801062860521
,BK9358,LOTTE Pepero 巧克力口味餅乾棒分享盒for PX,11,99,,,6/25空調-2,2027/03/18,18801062016096
,BK9358,LOTTE Pepero 巧克力口味餅乾棒分享盒for PX,14,126,,,6/25空調-2,2026/08/17,18801062016096
,BK9359,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒for PX,2,18,,,6/25空調-2,2026/08/20,28801062482201
,BK9359,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒for PX,21,189,,,6/25空調-2,2026/08/20,28801062482201
,BK9359,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒for PX,66,594,,,6/25空調-2,2027/04/13,28801062482201
,BK9359,LOTTE  Pepero 杏仁巧克力口味餅乾棒分享盒for PX,72,648,,,6/25空調-2,2026/08/20,28801062482201
,CJ0017,LOTTE Ghana加納牛奶可可製品(片裝)50g,29,3480,,,6/25空調-2,2026/10/31,14903333258847
,CJ0018,LOTTE Ghana加納黑巧克力(片裝)50g添加植物油,16,1930,,,6/25空調-2,2026/10/31,14903333214324
,BK9305,LOTTE Pepero 草莓脆粒餅乾棒32g,80,3200,,,6/25空調-3,2027/02/09,18801062862532
,BK9305,LOTTE Pepero 草莓脆粒餅乾棒32g,80,3200,,,6/25空調-3,2027/02/09,18801062862532
,BK9305,LOTTE Pepero 草莓脆粒餅乾棒32g,80,3200,,,6/25空調-3,2027/02/09,18801062862532
,CJ9371,LOTTE 烘焙杏仁可可球,1,100,,,6/25空調-3,2026/08/31,14903333282057
,CJ9371,LOTTE 烘焙杏仁可可球,25,2000,,,6/25空調-3,2026/09/30,14903333282057
,CJ9373,LOTTE 夏威夷果仁可可球,24,1920,,,6/25空調-3,2026/09/30,14903333251213
,CJ9384,LOTTE Crunky脆心可可製品(26入),6,300,,,6/25空調-3,2026/10/31,14903333236128
,CJ9385,LOTTE Ghana加納牛奶可可製品(26入)(紅),8,420,,,6/25空調-3,2026/10/31,14903333235824
,CJ9386,LOTTE Ghana加納黑可可製品(26入)(黑),5,258,,,6/25空調-3,2026/10/31,14903333245946
,CJ9388,LOTTE Crunky脆心可可製品(片裝),11,1330,,,6/25空調-3,2026/10/31,14903333208705
,CJ9416,LOTTE脆心杏仁可可球,8,640,,,6/25空調-3,2026/09/30,14903333261960
,CJ9454,LOTTE Almond杏仁可可球隨手包－濃脆風味,6,720,,,6/25空調-3,2026/06/30,14903333208675
,CJ9454,LOTTE Almond杏仁可可球隨手包－濃脆風味,20,2400,,,6/25空調-3,2026/06/30,14903333208675
,CJ9454,LOTTE Almond杏仁可可球隨手包－濃脆風味,30,3600,,,6/25空調-3,2026/06/30,14903333208675
,CJ9455,LOTTE Crunky脆心可可球－岩鹽焦糖風味,12,1440,,,6/25空調-3,2026/08/31,14903333249258
,CJ9455,LOTTE Crunky脆心可可球－岩鹽焦糖風味,36,4320,,,6/25空調-3,2026/08/31,14903333249258
,CJ9456,LOTTE ZERO冬季限定可可製品,8,640,,,6/25空調-3,2026/10/31,14903333214546
,CJ9456,LOTTE ZERO冬季限定可可製品,21,1680,,,6/25空調-3,2026/10/31,14903333214546
,CJ9456,LOTTE ZERO冬季限定可可製品,24,1920,,,6/25空調-3,2026/10/31,14903333214546
,CJ9456,LOTTE ZERO冬季限定可可製品,24,1920,,,6/25空調-3,2026/10/31,14903333214546
,CJ9456,LOTTE ZERO冬季限定可可製品,24,1920,,,6/25空調-3,2026/10/31,14903333214546
,CJ9456,LOTTE ZERO冬季限定可可製品,24,1920,,,6/25空調-3,2026/10/31,14903333214546
,GW0177,LOTTE Pepero x Stray Kids豪華珍藏組16pk(711),1,1,,,6/25空調-3,2026/08/17,4712834457382
,GW0177,LOTTE Pepero x Stray Kids豪華珍藏組16pk(711),1,1,,,6/25空調-3,2026/08/17,4712834457382
,GW0177,LOTTE Pepero x Stray Kids豪華珍藏組16pk(711),3,3,,,6/25空調-3,2026/08/17,4712834457382
,GW0177,LOTTE Pepero x Stray Kids豪華珍藏組16pk(711),29,29,,,6/25空調-3,2026/08/17,4712834457382
,GW0177,LOTTE Pepero x Stray Kids豪華珍藏組16pk(711),44,44,,,6/25空調-3,2026/08/17,4712834457382
,GW0177,LOTTE Pepero x Stray Kids豪華珍藏組16pk(711),90,90,,,6/25空調-3,2026/08/17,4712834457382
,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,40,1600,,,6/25空調-4,2027/03/18,58801062636353
,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,,,6/25空調-4,2027/03/18,58801062636353
,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,,,6/25空調-4,2027/03/18,58801062636353
,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,,,6/25空調-4,2027/03/18,58801062636353
,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,,,6/25空調-4,2027/03/18,58801062636353
,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,,,6/25空調-4,2027/03/18,58801062636353
,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,,,6/25空調-4,2027/03/18,58801062636353
,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,,,6/25空調-4,2027/03/18,58801062636353
,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,80,3200,,,6/25空調-4,2027/03/18,58801062636353
,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,,6/25空調-4,2027/03/18,48801062016097
,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,,6/25空調-4,2027/03/18,48801062016097
,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,,6/25空調-4,2027/03/18,48801062016097
,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,,6/25空調-4,2027/03/18,48801062016097
,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,,6/25空調-4,2027/03/18,48801062016097
,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,,6/25空調-4,2027/03/18,48801062016097
,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,,6/25空調-4,2027/03/18,48801062016097
,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,,6/25空調-4,2027/03/18,48801062016097
