orderId,sourceId,sku,name,qtyBox,qtyPcs,destLoc,trip,plant,expDate,ean
lotte20260625aircon-4010,,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,6/25空調-4,A37,2027/03/18,48801062016097
lotte20260625aircon-4011,,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,6/25空調-4,A37,2027/03/18,48801062016097
lotte20260625aircon-4012,,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,6/25空調-4,A37,2027/03/18,48801062016097
lotte20260625aircon-4013,,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,6/25空調-4,A37,2027/03/18,48801062016097
lotte20260625aircon-4014,,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,6/25空調-4,A37,2027/03/18,48801062016097
lotte20260625aircon-4015,,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,6/25空調-4,A37,2027/03/18,48801062016097
lotte20260625aircon-4016,,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,6/25空調-4,A37,2027/03/18,48801062016097
lotte20260625aircon-4017,,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,6/25空調-4,A37,2027/03/18,48801062016097
lotte20260625aircon-4018,,BK9282,LOTTE Pepero 巧克力口味餅乾棒分享盒180g,72,648,,6/25空調-4,A37,2027/03/18,48801062016097
lotte20260626-1001,,BJ9373,LOTTE ZERO奶油小餅乾,2,60,,6/26-1,A39,2027/01/31,14903333203144
lotte20260626-1002,,BJ9373,LOTTE ZERO奶油小餅乾,3,90,,6/26-1,A39,2027/01/31,14903333203144
lotte20260626-1003,,BJ9373,LOTTE ZERO奶油小餅乾,11,357,,6/26-1,A39,2027/01/31,14903333203144
lotte20260626-1004,,BJ9373,LOTTE ZERO奶油小餅乾,36,1080,,6/26-1,A39,2027/01/31,14903333203144
lotte20260626-1005,,BJ9374,LOTTE ZERO可可小餅乾,9,270,,6/26-1,A39,2027/02/28,14903333298461
lotte20260626-1006,,BJ9374,LOTTE ZERO可可小餅乾,36,1080,,6/26-1,A39,2027/02/28,14903333298461
lotte20260626-1007,,BK9345,LOTTE ZERO零砂糖可可&香草夾心餅乾量販包288g,0,11,,6/26-1,A39,2027/01/28,18801062859051
lotte20260626-1008,,BK9348,LOTTE ZERO零砂糖巧克力派(12顆裝),38,304,,6/26-1,A39,2026/09/05,18802259019128
lotte20260626-1009,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1010,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1011,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1012,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1013,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
