廠商統編,廠商聯絡人,電話,日期,時段,採購單號,來源單號,主檔備註,品號,品名,數量,製造日期,有效期,批號,商品條碼,群品,明細備註,入倉單號,虛擬倉,庫存等級,版本號,原因代碼
27712880,樂天,,2026/06/18,,,LOTTE-20260618-空調'6-22-3-050,,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,3200,,2027/04/16,,,良品,儲C05B0803-0|棧塑膠寬|空調'6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-空調'6-22-3-051,,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,3200,,2027/04/16,,,良品,儲C05B0842-0|棧塑膠寬|空調'6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-空調'6-22-3-052,,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,3200,,2027/04/16,,,良品,儲C05B0862-0|棧塑膠寬|空調'6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-空調'6-22-3-053,,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,3200,,2027/04/16,,,良品,儲C05B0863-0|棧塑膠寬|空調'6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-空調'6-22-3-054,,BK9276,LOTTE Pepero 白巧克力口味餅乾棒32g,3200,,2027/04/16,,,良品,儲C05B0882-0|棧塑膠寬|空調'6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-055,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),40,,2027/02/09,,,良品,儲A19A1212-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-056,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/02/09,,,良品,儲A19A1232-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-057,,BT0068,樂天小熊餅家庭號－濃黑巧克力風味195g,480,,2027/07/20,,,良品,儲A19A1251-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-058,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/02/09,,,良品,儲A19A1252-0|棧#N/A|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-059,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),80,,2027/02/09,,,良品,儲A19A1252-0|棧#N/A|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-060,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/02/09,,,良品,儲A19A1272-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-061,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/03/20,,,良品,儲A19A1291-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-062,,BT0068,樂天小熊餅家庭號－濃黑巧克力風味195g,480,,2027/07/20,,,良品,儲A19A1292-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-063,,BT0068,樂天小熊餅家庭號－濃黑巧克力風味195g,480,,2027/07/20,,,良品,儲A19A1312-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-064,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/03/20,,,良品,儲A19A1352-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-065,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19A1473-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-066,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19A1474-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-067,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19A1492-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-068,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19A1493-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-069,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19A1494-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-070,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/03/20,,,良品,儲A19A1511-0|棧一般木頭2|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-071,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19A1514-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-072,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19A1534-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-073,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19A1554-0|棧塑膠寬|6/22-1,,A37,,,
