sourceId	sku	name	qtyBox	qtyPcs	destLocation
LOTTE-20260622-Air_con622_3-054	BK9276	LOTTE Pepero 白巧克力口味餅乾棒32g	80	3200	
LOTTE-20260622-622_2-055	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	5	40	BI012
LOTTE-20260622-622_2-056	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-058	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-059	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	10	80	BI012
LOTTE-20260622-622_2-060	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-061	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-064	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-070	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-074	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-077	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-085	BV0005	LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝)	60	960	BI012
LOTTE-20260622-622_2-087	BV0005	LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝)	60	960	BI012
LOTTE-20260622-622_2-090	BV0005	LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝)	60	960	BI012
LOTTE-20260622-622_2-108	BV0005	LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝)	60	960	BI012
LOTTE-20260622-622_2-118	BV0005	LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝)	30	480	BI012
LOTTE-20260622-622_2-120	BV0005	LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝)	60	960	BI012
LOTTE-20260622-622_2-121	BV0005	LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝)	60	960	BI012
LOTTE-20260622-622_2-123	BV0008	LOTTE巧克力布雪蛋糕(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-124	BV0008	LOTTE巧克力布雪蛋糕(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-125	BV0008	LOTTE巧克力布雪蛋糕(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-126	BV0008	LOTTE巧克力布雪蛋糕(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-127	BV0008	LOTTE巧克力布雪蛋糕(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-128	BV0008	LOTTE巧克力布雪蛋糕(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-129	BV0008	LOTTE巧克力布雪蛋糕(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-130	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	50	400	BI012
LOTTE-20260622-622_2-131	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-132	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-133	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-134	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_2-135	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	60	480	BI012
